Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
indium (liquid),43.932,23.5,266,1.87,9065.0,7030.0,73.50873,61.183594
uranium boride (UB4),5.021,1.07,502,4.709,4863.0,9380.0,43.93695,56.197754
hematite (Fe2O3),12.552,3.82,628,3.291,6425.0,5240.0,34.52295,62.355835
actinium,12.552,9.9,126,1.273,3989.0,10100.0,59.222595,58.096924
fluorocarbons tfe (teflon),0.251,0.12,1004,2.179,740.0,2170.0,44.307007,67.43176
mercury chloride (HgCl2),1.297,0.84,285,1.55,1417.0,5440.0,57.24597,72.44165
titanium carbide cermet k161b,23.43,6.22,628,3.768,9393.0,6000.0,42.736633,37.08203
bronze phospher 10 percent,50.208,15.2,377,3.31,12885.0,8780.0,39.06714,23.229858
quartz flour fine (dry),0.167,0.26,745,0.656,331.0,880.0,52.970825,47.32019
silver,426.77,172.0,236,2.478,32520.0,10500.0,60.55365,64.032715
titanium carbide + nbc + ni,33.472,11.2,544,2.992,10006.0,5500.0,51.407837,28.451782
copper alloy - cupronickel (Cu70 Ni30),29.288,8.74,377,3.355,9908.0,8900.0,39.08972,29.79004
sandstone (high density),4.184,1.67,962,2.501,3235.0,2600.0,47.09143,67.98584
nickel alloy inconel (cast),10.46,2.79,452,3.752,6264.0,8300.0,51.41034,47.083008
glycerol (21 °C),0.287,0.09695,2346,2.96,89.0,1262.0,56.864746,66.59448
concrete lightweight,0.209,0.34,657,0.624,361.0,950.0,52.92981,46.977173
magnesium oxide (MgO) (single crystal),69.036,21.0,921,3.297,15083.0,3580.0,27.915405,32.27832
magnesium alloy 1960 (Mg Ce6.7),118.83,67.3,1004,1.767,14491.0,1760.0,64.38617,64.32239
alumina brick (Al2O3 53) (20 p),1.381,0.79,753,1.754,1557.0,2330.0,51.85388,61.47534
beryllium oxide (BeO) (76 pc dens),138.07,57.4,1046,2.406,18225.0,2300.0,61.914978,64.707275
aluminum alloy (Al93.0 average trtmt),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
titanium nitride (TiN) (hp  70-90 dens),25.104,9.26,603,2.714,8250.0,4500.0,73.29773,34.895508
nickel alloy monel 400,25.941,6.69,439,3.876,10031.0,8830.0,46.18445,23.559326
bronze phospher 10 percent,50.208,15.2,377,3.31,12885.0,8780.0,39.06714,23.229858
antimony (liquid),20.92,12.6,255,1.658,5891.0,6500.0,68.260315,61.657593
magnesite brick spall res (MgO 89),3.473,1.55,837,2.235,2785.0,2670.0,50.114807,64.826416
nylon glass filled,0.209,0.11,1339,1.875,626.0,1400.0,47.12085,65.07544
strontium titanate (SrO.TiO2) (100 d),5.858,2.14,536,2.739,4004.0,5110.0,54.131714,62.75354
magnesium alloy pe (wrought),108.78,60.3,1025,1.804,14009.0,1760.0,63.36731,63.555664
baratol h.e. (tnt 26 ba nitrate 76),0.495,0.24,803,2.088,1017.0,2600.0,45.162903,65.59778
aluminum alloy (Al92.0 wrot or annld),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
quartz powder coarse (H2O 24),1.13,0.38,1590,2.973,1833.0,1870.0,42.779602,70.08325
aluminum alloy (Al99.8 cast or tempd),209.2,88.2,879,2.373,22277.0,2700.0,63.913757,65.69763
forsterite ceramics,5.0,2.137,780,2.34,3420.0,3000.0,56.26642,63.779907
decane,0.15,0.1027,2000,1.46,468.1,730.0,53.65265,61.51831
rhodium,150.62,50.1,243,3.013,21291.0,12400.0,38.556824,62.48523
lithium cobalt nickel oxide(46NiO.46CoO.8LiO),3.598,0.74,753,4.895,4197.0,6500.0,29.40924,71.34973
cellulose triacetate,0.251,0.13,1464,1.903,691.0,1300.0,47.01062,65.79431
nickel alloy calite n,13.807,3.65,460,3.781,7227.0,8220.0,50.982666,40.380005
magnesium alloy az63a (ac f) (casting),71.128,37.8,1025,1.881,11566.0,1835.0,63.216858,57.37561
magnesium,150.62,86.2,1004,1.747,16221.0,1740.0,65.56769,66.517334
iron ni-tensyliron (cast heat treat),46.024,13.9,460,3.312,12349.0,7200.0,47.100708,20.125977
silicon carbide (SiC) (kt grade),179.91,85.6,678,2.102,19443.0,3100.0,65.19702,66.33374
sapphire - aluminum oxide (Al2O3) (polyxtal 100 d),38.493,12.4,778,3.096,10919.0,3980.0,53.18048,33.921753
alumina porcelain (high k),18.828,6.97,795,2.703,7134.0,3400.0,73.00958,55.979248
indium arsenide (inas) (pure s-doped),26.778,17.8,251,1.506,6350.0,6000.0,68.1626,63.049683
lithium hydride (LiH),7.322,2.5,4184,2.929,4631.0,700.0,18.072388,66.387695
nickel alloy monel  h (as cast),20.92,5.62,439,3.723,8828.0,8480.0,47.172302,29.809814
steel stainless ha (cast),29.288,7.56,502,3.875,10655.0,7720.0,49.410034,20.398438
quartz crystal (silicon oxide) a axis (SiO2),6.485,3.25,753,1.995,3598.0,2650.0,55.92505,59.9209
zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,2.503,5116.0,6500.0,55.66693,61.232056
magnesium oxide (MgO) (single crystal),69.036,21.0,921,3.297,15083.0,3580.0,27.915405,32.27832
forsterite ceramics,5.0,2.137,780,2.34,3420.0,3000.0,56.26642,63.779907
quartz powder coarse (H2O 24),1.13,0.38,1590,2.973,1833.0,1870.0,42.779602,70.08325
window glass - lime,1.318,0.71,753,1.867,1569.0,2480.0,50.49951,63.45166
fiberfax paper,0.03,0.13,732,0.237,84.0,324.0,52.377625,42.3562
forsterite ceramics,5.0,2.137,780,2.34,3420.0,3000.0,56.26642,63.779907
tetradecafluorohexane,0.057,0.0308,1100,1.848,324.8,1680.0,47.319702,64.82837
kaolin brick,0.251,0.75,774,0.333,289.0,430.0,52.51068,43.46985
sapphire - aluminum oxide (Al2O3) (polyxtal 100 d),38.493,12.4,778,3.096,10919.0,3980.0,53.18048,33.921753
ether (diethyl ether),0.14,0.0866,2260,1.616,475.7,715.0,54.616272,61.090576
nickel alloy monel  kr (annealed),18.828,5.07,439,3.71,8360.0,8450.0,47.583435,32.46045
pyrex glass,1.13,0.7,728,1.616,1351.0,2220.0,52.824158,59.307617
rubidium chloride (RbCl),2.092,1.73,431,1.207,1589.0,2800.0,53.908997,55.171265
boron nitride (Bn 97 Bn2O3 2) (perp p),28.87,17.3,795,1.67,6943.0,2100.0,76.80676,52.392944
spruce wood (with grain),0.23,0.45,1255,0.515,344.0,410.0,52.890747,46.65039
magnesium alloy zre1(aa) (casting),100.42,54.4,1025,1.845,13612.0,1800.0,62.55945,62.956787
barium sulfate (BaSO4) (crystal),1.674,0.56,669,3.011,2245.0,4500.0,45.943176,68.152954
aluminum alloy (Al90.0  cast or tempd),104.6,44.1,879,2.373,15752.0,2700.0,61.192505,64.34924
solder (Pb50 Sn50),46.024,24.3,213,1.894,9344.0,8890.0,53.376343,54.34143
potassium fluoride (KG|F),7.113,3.33,862,2.138,3899.0,2480.0,54.415955,61.531616
polystyrene (modified),0.084,0.06,1339,1.446,348.0,1080.0,51.29724,58.84912
mock h.e. lm-04-0 h7-048-a522.1,0.527,0.28,1109,1.885,997.0,1700.0,47.561584,64.61218
gadolinium,8.786,4.85,230,1.81,3989.0,7870.0,58.797485,63.71167
iron grey cast ferritic (2.3-3.0 c),50.208,15.2,460,3.307,12889.0,7190.0,46.265015,19.951782
cellulose acetate (high k),0.335,0.18,1464,1.903,798.0,1300.0,47.09558,65.72754
boron nitride (BN) (prs axis 94 d),20.92,12.5,795,1.67,5910.0,2100.0,71.36731,52.06067
plutonium nitride (PuN),13.807,5.15,188,2.679,6087.0,14250.0,35.819885,34.592407
potassium chloride (KCl 50),2.51,2.0,531,1.253,1774.0,2360.0,55.31842,54.040527
uranium carbide (UC) (arcm or cast 99d),20.083,7.28,203,2.761,7444.0,13600.0,29.21045,37.002808
phosphorus (white),4.184,3.1,741,1.349,2375.0,1820.0,57.009705,52.5719
brass aluminum (Cu76 Zn22 Al2),100.42,31.0,377,3.242,18034.0,8600.0,36.80548,45.948853
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
tantalum nitride (tan),7.95,2.7,205,2.944,4838.0,14360.0,41.139587,34.389893
magnesium oxide (MgO) (single crystal),69.036,21.0,921,3.297,15083.0,3580.0,27.915405,32.27832
molybdenum alloy (Mo99.5 Ti0.5),117.15,45.0,255,2.601,17463.0,10200.0,48.73584,60.429688
manganin (Cu84 Ni4 Mn12),22.175,6.77,377,3.28,8524.0,8700.0,39.476624,35.306274
aluminum alloy (Al99.8 cast or tempd),209.2,88.2,879,2.373,22277.0,2700.0,63.913757,65.69763
magnesite brick (MgO 87),3.849,1.82,837,2.118,2855.0,2530.0,51.071167,63.30945
titanium alloy (Ti Bal  Cr3.4  Mo2.1),16.318,6.78,523,2.406,6266.0,4600.0,81.62073,48.135254
beryllium alloy (Be99.5),154.81,45.7,1841,3.387,22900.0,1840.0,50.6557,62.462036
propylene glycol,0.2,0.0691,2790,2.89,760.8,1036.0,54.46118,69.177124
n-hexane  (25 °C),0.12002,0.08065,2273,1.488,34.0,655.0,54.616272,61.090576
magnesium titanate porcelain,1.883,0.86,753,2.184,2028.0,2900.0,47.221313,64.35242
diatomaceous earth brick (use to 1100C),0.222,0.47,795,0.477,325.0,600.0,52.72113,45.231323
cobalt alloy jessop g-32,14.644,4.24,418,3.453,7114.0,8260.0,46.49774,39.437866
cobalt alloy hs-27 (cast),11.171,3.25,418,3.432,6195.0,8210.0,48.440186,45.290527
steel stainless hf (cast),23.012,5.91,502,3.891,9463.0,7750.0,51.30493,26.548584
brick masonry medium,0.711,0.43,837,1.674,1091.0,2000.0,50.564087,61.379272
tungsten carbide (WC),41.84,14.6,184,2.87,10962.0,15600.0,25.234375,42.00061
calcium fluoride (CaF2) (mineral aggr),4.017,1.08,1167,3.711,3861.0,3180.0,24.400513,86.532715
mercury chloride (HgCl2),1.297,0.84,285,1.55,1417.0,5440.0,57.24597,72.44165
oil (motor oil 10W30),0.158,0.09,1990,1.703,519.0,856.0,52.24579,62.82898
lead antimonial (Pb Sb 4-6) (hard),29.706,20.2,134,1.469,6603.0,10960.0,59.83313,63.036743
astitine,0.418,0.4,139,1.043,661.0,7500.0,55.520325,59.70105
spruce wood (with grain),0.23,0.45,1255,0.515,344.0,410.0,52.890747,46.65039
molybdenum alloy (Mo Bal Fe 0.25),138.07,49.0,276,2.815,19719.0,10200.0,50.58893,61.497192
cobalt alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
tungsten titanium carbide k4h,46.861,9.96,377,4.713,14853.0,12500.0,30.924255,18.518066
iron (-51 to 1537 deg c),71.128,20.2,448,3.526,15831.0,7870.0,36.37329,28.988037
aluminum oxide foam (Al2O3),5.23,3.54,778,1.478,2781.0,1900.0,58.059937,53.067993
titanium alloy imi 679 (sn11  zr5  al2),6.694,2.87,481,2.328,3949.0,4840.0,69.75165,65.34558
polyvinylidene fluoride (kynar),0.126,0.05,1381,2.431,552.0,1760.0,43.78839,68.663574
tantalum alloy (Ta99.5 Nb0.5),45.187,19.8,138,2.277,10147.0,16500.0,36.169373,45.858276
propylene glycol,0.2,0.0691,2790,2.89,760.8,1036.0,54.46118,69.177124
norway pine wood (across grain),0.151,0.12,2301,1.266,437.0,550.0,54.60089,60.96167
manganese oxide (Mn3O4) (87 pc dense),4.184,1.59,628,2.638,3321.0,4200.0,56.515625,63.897827
tantalum carbide (TaC),22.175,8.32,190,2.66,7688.0,14000.0,28.38562,36.83972
nickel alloy rene 41,10.334,2.97,423,3.481,5995.0,8230.0,49.773743,46.594482
niobium alloy (Nb80 W15 Mo5),50.208,21.2,247,2.371,10909.0,9600.0,34.102783,44.33252
manganese selenide (97mnse.3lise),2.803,1.32,385,2.118,2436.0,5500.0,57.86737,80.6698
epoxy silica filled cast,0.628,0.35,1004,1.807,1065.0,1800.0,48.608643,63.718018
carbon graphite (typical k),167.36,105.0,707,1.591,16318.0,2250.0,65.975525,63.776733
molybdenum alloy (Mo Bal Fe 0.25),138.07,49.0,276,2.815,19719.0,10200.0,50.58893,61.497192
magnesium alloy zw1(x) (zk11) (wrought),133.89,72.6,1025,1.845,15717.0,1800.0,64.875,66.17407
chrome magnesite brick,2.092,0.93,753,2.259,2174.0,3000.0,46.594604,64.5061
brass aluminum (Cu76 Zn22 Al2),100.42,31.0,377,3.242,18034.0,8600.0,36.80548,45.948853
nickel alloy monel weldable alloy,26.778,7.06,439,3.789,10076.0,8630.0,45.99646,23.205566
uranium oxide + mo (UO2 80 vol) (94 d),18.41,5.5,335,3.35,7850.0,10000.0,32.674927,40.141235
cerium sulfide (Ce2S3),0.586,0.33,343,1.784,1022.0,5200.0,59.490417,82.12671
magnesium (liquid),83.68,39.8,1339,2.102,13263.0,1570.0,58.500916,63.015503
rubber natural,0.138,0.07,2092,1.946,518.0,930.0,52.418213,62.702637
olive oil,0.171,0.09,1970,1.812,557.0,920.0,51.621338,63.286987
nitrocellulose h.e. (12.7 n),0.23,0.12,1255,1.983,676.0,1580.0,46.43634,66.06543
polyvinyl chloride rigid,0.251,0.18,1004,1.406,594.0,1400.0,52.205627,57.267212
lead oxide (PbO) (yellow),2.929,1.79,205,1.64,2192.0,8000.0,63.66217,65.77527
carbon dioxide  (25 °C),0.016632,10.957,851,0.002,55.0,1.7842,51.852234,37.96045
diatomaceous earth brick (use to 1100C),0.222,0.47,795,0.477,325.0,600.0,52.72113,45.231323
silicone rubber high k,0.753,0.46,1255,1.632,1108.0,1300.0,50.04547,61.19507
plutonium sulfide,9.623,3.95,230,2.436,4842.0,10590.0,43.934753,40.80432
polystyrene foam,0.026,0.5,1130,0.052,37.0,46.0,52.24939,41.283203
magnesium alloy zre0 (ez30) (casting),100.42,54.4,1025,1.845,13612.0,1800.0,62.55945,62.956787
phenolic molded (high density  k),0.674,0.18,1255,3.765,1593.0,3000.0,38.253113,81.24426
cobalt alloy hs-30 (422-19) (as cast),12.552,3.61,418,3.474,6606.0,8310.0,47.875427,42.69409
polyvinyl carbazole,0.155,0.1,1297,1.53,487.0,1180.0,50.439087,60.12671
titanium alloy (Ti Bal Al2 Mn2),9.623,3.93,544,2.448,4853.0,4500.0,75.33826,58.187378
rubidium chloride (RbCl),2.092,1.73,431,1.207,1589.0,2800.0,53.908997,55.171265
rubber natural foam,0.042,0.2,2092,0.209,94.0,100.0,53.170715,48.993042
iron  ni-resist  type d2 (cast),13.389,3.93,460,3.409,6757.0,7410.0,49.522095,41.835327
nickel alloy monel k (annealed),17.74,4.91,427,3.615,8006.0,8465.0,46.8208,34.224243
iron oxide - hematite (Fe2O3),12.552,3.82,628,3.291,6425.0,5240.0,34.52295,62.355835
magnesium alloy ze41a(t5 ht) (casting),112.97,64.5,962,1.751,14066.0,1820.0,64.05591,62.93347
magnesium aluminate (MgO.Al2O3) (xtal),14.226,4.87,812,2.923,6447.0,3600.0,60.30139,69.12634
zinc-aluminum-copper alloy astm 25,108.78,38.8,418,2.801,17463.0,6700.0,51.34082,55.038452
zinc ferrite (ZnO.Fe2O3),4.017,1.29,586,3.123,3541.0,5330.0,37.10144,70.37512
titanium alloy (Ti Bal Sn5.5 Al2),9.205,3.83,523,2.406,4706.0,4600.0,74.872314,58.415283
steel stainless hf (cast),23.012,5.91,502,3.891,9463.0,7750.0,51.30493,26.548584
forsterite brick (MgO 58 SiO2 38)(20 p),1.004,0.46,795,2.194,1484.0,2760.0,44.355774,65.12134
granite (high k),3.975,1.79,837,2.218,2969.0,2650.0,50.83899,64.283936
beryllium carbide (Be2C) (hp or snt),23.43,7.84,1423,2.988,8368.0,2100.0,16.530396,76.5509
niobium alloy (Nb61 Ta28 W10 Zr0.5),44.769,20.8,201,2.151,9808.0,10700.0,33.850952,46.710693
chalk (avg prop),0.837,0.59,921,1.418,1089.0,1540.0,52.722168,56.950684
melamine (low dens  low k),0.167,0.07,1674,2.344,626.0,1400.0,47.17151,66.55066
polyvinyl tpx-r,0.167,0.09,2176,1.806,550.0,830.0,53.89801,61.61731
sodium fluoride (NaF),10.502,3.69,1113,2.847,5468.0,2558.0,32.975525,80.184204
calcium carbonate (CaCO3) (natural),2.259,1.04,837,2.185,2221.0,2610.0,48.520752,65.16089
magnesium alloy pe (wrought),108.78,60.3,1025,1.804,14009.0,1760.0,63.36731,63.555664
plaster building (molded dry),0.431,0.32,1088,1.36,766.0,1250.0,52.69159,56.437134
sodium (liquid),84.517,65.8,1381,1.284,10419.0,930.0,59.56018,55.003662
thulium,8.368,5.63,160,1.488,3526.0,9300.0,60.72943,54.859375
tungsten carbide cermet k92,74.057,25.7,209,2.884,14622.0,13800.0,23.63562,49.608765
magnesium alloy az91a b (dc) (casting),54.392,29.3,1025,1.855,10045.0,1810.0,64.92053,53.550903
uranium carbide (UC) (avg),23.849,8.71,203,2.741,8082.0,13500.0,27.213196,38.107666
tantalum antimonide (TaSb),18.828,8.03,167,2.338,6643.0,14000.0,36.726685,37.112183
nickel alloy monel weldable alloy,26.778,7.06,439,3.789,10076.0,8630.0,45.99646,23.205566
mica (single crystal) (synthetic) (98d),2.092,0.9,837,2.335,2210.0,2790.0,45.21942,65.57654
methanol (25 °C),0.20021,0.10046,2534,1.993,63.0,786.0,57.029663,63.04358
nickel alloy duranickel (and -r) (hard),19.665,5.47,435,3.593,8407.0,8260.0,47.166748,31.722656
magnesium alloy hk31a(t6) (casting),92.048,50.2,1025,1.835,12996.0,1790.0,61.835266,61.72107
steel stainless 501 and 502,37.656,10.5,460,3.588,11626.0,7800.0,46.885986,17.078247
boride z cermet (ZrB2 81-87  MoSi2 13),20.92,8.01,502,2.61,7391.0,5200.0,68.8999,42.098755
calcium carbonate (CaCO3) (natural),2.259,1.04,837,2.185,2221.0,2610.0,48.520752,65.16089
aluminum alloy (Al96.0 average trtmt),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
chromium nitride (CrN),12.134,2.85,699,4.264,7191.0,6100.0,35.816833,59.062744
cobalt alloy jessop g-32,14.644,4.24,418,3.453,7114.0,8260.0,46.49774,39.437866
abs resin (high k),0.209,0.13,1506,1.566,572.0,1040.0,50.2688,61.506226
beryllium oxide (BeO) (76 pc dens),138.07,57.4,1046,2.406,18225.0,2300.0,61.914978,64.707275
arsenic telluride (As2Te3) (v zone mlt),2.594,1.85,234,1.404,1910.0,6000.0,54.745667,60.56909
titanium,20.92,8.89,523,2.354,7017.0,4500.0,86.97821,45.1687
sodium chlorate (NaClO3) (crystal),1.13,0.49,921,2.293,1609.0,2490.0,42.921875,66.64966
nickel alloy constantan (Ni45 Cu55),22.175,6.28,398,3.538,8852.0,8890.0,42.412292,30.818237
sodium chloride (NaCl) (clear crystal),8.159,4.33,870,1.884,3921.0,2165.0,57.673096,56.520264
potassium nitrate (KNO3) (pr 8000 kb),2.092,1.19,837,1.765,1921.0,2109.0,52.309082,60.69995
beryllium nitride (Be3Nn2) (prsd 3.4 kb),0.711,0.33,1255,2.134,1232.0,1700.0,45.42389,67.27136
bismuth telluride (Bi2Te3-P) (plane dr),2.51,2.11,154,1.186,1728.0,7700.0,55.410156,60.972656
titanium carbide cermet k164b,20.083,5.6,544,3.59,8491.0,6600.0,48.759216,35.75757
polyallomer,0.126,0.07,2092,1.883,486.0,900.0,52.646545,62.53528
cellulose acetate (high k),0.335,0.18,1464,1.903,798.0,1300.0,47.09558,65.72754
acetylene (ethyne)  (25 °C),0.021792,11.708,1762,0.002,75.0,1.0566,52.358215,42.19458
hydrogen,0.12,0.1943,8700,0.618,272.2,71.0,53.106262,38.808105
lx-07 h.e. (hmx 90 viton a 10),0.502,0.26,1049,1.962,992.0,1870.0,46.770813,65.68042
niobium carbide (NbC),33.472,12.4,356,2.706,9511.0,7600.0,38.778748,43.32605
ethylene glycol (25 °C),0.2516,0.093989,2412,2.677,77.0,1109.9,59.10663,64.724365
calcium carbonate - calcite (CaCO3) (c axis),4.393,1.94,837,2.268,3156.0,2710.0,51.110535,64.49011
neon (gas),0.049,52.4,1029,0.001,7.0,0.8999,51.10852,31.738525
nickel alloy inconel 600 (annealed),15.062,3.89,456,3.867,7633.0,8480.0,50.447693,37.952637
plutonium sulfide,9.623,3.95,230,2.436,4842.0,10590.0,43.934753,40.80432
steel free cutting eutectoid,46.024,12.8,460,3.602,12878.0,7830.0,45.353638,14.156616
potassium chloride (KCl 75  KBr 25),3.305,2.56,598,1.292,2067.0,2160.0,56.326538,53.21228
white fir wood (across grain),0.109,0.11,2301,1.035,336.0,450.0,54.384094,59.147095
cobalt alloy hs-21 (as cast),12.552,3.58,423,3.511,6635.0,8300.0,48.590027,42.500244
aluminum (liquid),92.048,36.0,1084,2.558,15345.0,2360.0,56.208008,59.158813
cobalt alloy hs-21 (as cast),12.552,3.58,423,3.511,6635.0,8300.0,48.590027,42.500244
zinc-aluminum-copper alloy astm 25,108.78,38.8,418,2.801,17463.0,6700.0,51.34082,55.038452
armco iron,74.0,20.24,850,6.681,22200.0,7860.0,0.0,34.779297
copper,397.48,116.0,385,3.442,36983.0,8940.0,54.616272,61.090576
cellulose acetate (low k),0.167,0.09,1464,1.903,564.0,1300.0,46.91931,65.87109
lead antimonial (Pb Sb 4-6) (hard),29.706,20.2,134,1.469,6603.0,10960.0,59.83313,63.036743
vermiculite brick,0.167,0.41,837,0.406,261.0,485.0,52.628662,44.456543
cobalt alloy hs-31 (x-40) (as cast),12.552,3.48,418,3.599,6724.0,8610.0,48.17047,42.554077
nickel alloy nimonic 90,12.552,3.53,431,3.556,6681.0,8250.0,49.3338,42.41504
n-hexadecane (cetane)  (25 °C),0.14385,0.08444,2212,1.703,42.0,770.0,54.568115,61.125854
chromium carbide + ni (Cr(x)C(y) Ni),11.297,3.36,502,3.363,6165.0,6700.0,47.40143,48.425293
titanium carbide cermet k164b,20.083,5.6,544,3.59,8491.0,6600.0,48.759216,35.75757
indium,23.43,13.5,239,1.745,6387.0,7300.0,67.104065,60.7782
titanium alloy ti155a (Al5 Fe2 Cr1 Mo1),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
cordierite - magnesium aluminum silicate (2MgO.2Al2O3.5SiO2),2.218,1.36,774,1.625,1899.0,2100.0,54.44983,57.94519
zinc,111.71,40.2,389,2.777,17617.0,7140.0,52.09082,56.424194
magnesium alloy ze41a(t5 ht) (casting),112.97,64.5,962,1.751,14066.0,1820.0,64.05591,62.93347
titanium nitride (TiN) (hp  70-90 dens),25.104,9.26,603,2.714,8250.0,4500.0,73.29773,34.895508
steel stainless (Cr 12-13 Ni 0-3),23.43,7.01,431,3.34,8847.0,7750.0,46.381836,30.759521
silver chloride (AgCl) (single crystal),1.134,0.57,356,1.979,1497.0,5560.0,59.34961,83.77075
nickel alloy nichrome v (Ni80 Cr20),13.389,3.72,431,3.603,6946.0,8360.0,48.934998,40.953613
antimony (liquid),20.92,12.6,255,1.658,5891.0,6500.0,68.260315,61.657593
benzene (25 °C),0.14127,0.093269,1734,1.515,43.0,873.66,51.52832,61.78296
water (H2O) (liquid),0.60652,0.14548,4181,4.169,231.0,997.05,35.921875,86.29053
white pine wood (across grain),0.13,0.11,2301,1.22,398.0,530.0,54.557495,60.598267
potassium bromide (KBr),3.807,3.18,435,1.196,2134.0,2750.0,55.504395,54.65869
decane,0.15,0.1027,2000,1.46,468.1,730.0,53.65265,61.51831
silver (liquid),251.04,93.5,289,2.688,25962.0,9300.0,57.473206,62.506226
vycor glass,1.339,0.82,745,1.632,1478.0,2190.0,53.028625,59.29248
beryllium copper (Cu Bal Be 0.38-0.55),220.08,63.3,398,3.483,27667.0,8750.0,54.851562,56.211548
aluminum alloy (Al84.0 wrot or annld),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
uranium silicide (U3Si),16.736,6.17,176,2.719,6740.0,15450.0,32.766663,34.230225
magnesium alloy zre0 (ez30) (casting),100.42,54.4,1025,1.845,13612.0,1800.0,62.55945,62.956787
iron ingot (fe99.9+),71.128,20.2,448,3.526,15831.0,7870.0,36.37329,28.988037
uranium oxide + cr (UO2 80vol) (97 d),15.899,4.75,335,3.35,7295.0,10000.0,32.8255,43.061768
copper lithium oxide (96CuO.4LiO),15.272,3.62,669,4.215,8025.0,6300.0,39.61731,52.838623
titanium oxide (TiO2) (rutile c axis),13.389,4.59,686,2.916,6249.0,4250.0,59.165955,62.1261
uranium oxide + st steel (UO2 70 vol),7.95,2.38,335,3.35,5158.0,10000.0,36.85614,52.46106
epoxy unfilled cast,0.188,0.15,1046,1.255,486.0,1200.0,53.54608,54.50049
nickel alloy 330 (Ni99.55) (annealed),60.668,14.9,460,4.071,15719.0,8850.0,35.901306,14.4552
tungsten carbide cermet k94 and k1,91.63,31.1,209,2.947,16440.0,14100.0,22.428162,52.398315
titanium alloy (Ti Bal Al4 Cu4 Sn2),7.95,3.38,523,2.354,4325.0,4500.0,72.96484,59.731445
magnesium titanate porcelain,1.883,0.86,753,2.184,2028.0,2900.0,47.221313,64.35242
deuterium,0.14,110.0,7113,0.001,13.0,0.18,56.83777,62.888306
aluminum alloy 2024-t4 and 24s-24 (ar),118.41,50.9,837,2.327,16597.0,2780.0,62.19458,64.8457
white pine wood (across grain),0.13,0.11,2301,1.22,398.0,530.0,54.557495,60.598267
aluminum alloy (Al96.5 cast or tempd),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
lead oxide (PbO) (yellow),2.929,1.79,205,1.64,2192.0,8000.0,63.66217,65.77527
promethium,12.552,9.26,188,1.354,4125.0,7200.0,59.979675,62.13208
tritium (gas),0.096,75.4,4728,0.001,11.0,0.27,54.616272,61.090576
lead telluride (pbte) (single crystal),2.092,1.7,151,1.232,1603.0,8160.0,55.424133,61.61206
silicon carbide (SiC) (frit bnd brick),46.024,25.2,678,1.831,9178.0,2700.0,87.472595,51.831055
lead alloy (Pb60 Sn40) (solder),47.279,22.3,230,2.116,10004.0,9200.0,40.547424,47.501465
potassium iodide (KI),2.887,3.02,305,0.955,1661.0,3130.0,55.52112,53.341675
machinable glass ceramic (macor),1.46,0.73,790,1.346,2520.0,1704.0,57.575684,52.741577
barium,33.472,50.8,188,0.658,4697.0,3500.0,74.793945,46.667847
n-heptane  (25 °C),0.1222,0.08004,2247,1.527,35.0,680.0,54.616272,61.090576
cellulose acetate butyrate (high k),0.335,0.19,1464,1.757,767.0,1200.0,48.30487,63.806274
nickel alloy hastelloy n and inor-8,10.753,3.08,398,3.498,6130.0,8790.0,46.40692,46.78882
phosphorus (white),4.184,3.1,741,1.349,2375.0,1820.0,57.009705,52.5719
steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2.511,2899.0,3000.0,47.269653,66.40198
tin oxide (SnO2) (93-95 pc dense),31.38,16.5,343,1.907,7737.0,5560.0,93.26599,57.78711
nickel alloy inconel 700,12.552,3.34,460,3.758,6870.0,8170.0,51.360474,42.8468
cobalt alloy hs-27 (cast),11.171,3.25,418,3.432,6195.0,8210.0,48.440186,45.290527
titanium carbide + ni or co (avg prop),29.288,10.6,460,2.76,8993.0,6000.0,51.491882,39.416016
cesium (liquid),25.104,54.4,251,0.462,3405.0,1840.0,62.96466,38.001465
magnesium alloy pe (wrought),108.78,60.3,1025,1.804,14009.0,1760.0,63.36731,63.555664
oak white live wood (across grain),0.209,0.11,2385,1.968,642.0,825.0,55.59381,61.88147
silver chloride (AgCl) (single crystal),1.134,0.57,356,1.979,1497.0,5560.0,59.34961,83.77075
calcium,125.52,123.0,657,1.018,11305.0,1550.0,59.453247,42.61792
forsterite brick (MgO 58 SiO2 38)(20 p),1.004,0.46,795,2.194,1484.0,2760.0,44.355774,65.12134
