Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
berkelium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
particle board (high density),0.17,0.1381,1300,0.611,1000.0,470.0,53.06067,48.072144
polyurethane foamed-in-place  (rigid),0.032,0.49,1674,0.067,47.0,40.0,52.5719,43.981934
magnesium alloy zre0 (ez30) (casting),100.42,54.4,1025,1.845,13612.0,1800.0,62.55945,62.956787
nickel alloy monel s (cast),19.665,5.36,439,3.67,8498.0,8360.0,47.447327,31.490234
magnesium alloy (Mg Ag2.5 Ce2 Zr0.6),112.97,64.5,962,1.751,14066.0,1820.0,64.05591,62.93347
iron  ni-resist  type d2 (cast),13.389,3.93,460,3.409,6757.0,7410.0,49.522095,41.835327
Graphite Sheet 100 um (in-plane),700.0,968.0,850,0.723,22489.0,850.0,72.49811,0.0
oak red black wood (across grain),0.146,0.1,2385,1.455,462.0,610.0,54.616272,61.090576
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
fluorocarbons fep,0.251,0.1,1172,2.578,805.0,2200.0,41.2442,69.95349
tungsten carbide (WC),41.84,14.6,184,2.87,10962.0,15600.0,25.234375,42.00061
magnesium aluminate (MgO.Al2O3) (xtal),14.226,4.87,812,2.923,6447.0,3600.0,60.30139,69.12634
steel free cutting eutectoid,46.024,12.8,460,3.602,12878.0,7830.0,45.353638,14.156616
iron  grey cast  pearlitic (3.4 c),58.576,17.7,460,3.307,13922.0,7190.0,43.10199,22.600708
titanium alloy imi 679 (sn11  zr5  al2),6.694,2.87,481,2.328,3949.0,4840.0,69.75165,65.34558
lead telluride (pbte) (single crystal),2.092,1.7,151,1.232,1603.0,8160.0,55.424133,61.61206
colombium alloy (Bb80 W15 Mo5),50.208,21.2,247,2.371,10909.0,9600.0,34.102783,44.33252
tnt h.e. (2 4 6-trinitrotoluene) (cast),0.26,0.12,1372,2.127,744.0,1550.0,45.208435,67.64551
nickel alloy nimonic 90,12.552,3.53,431,3.556,6681.0,8250.0,49.3338,42.41504
sulfuric acid,0.5,0.1941,1400,2.576,1134.9,1840.0,43.944702,68.74707
nickel alloy (Ni99.5) low c  220  225,60.668,14.8,460,4.089,15754.0,8890.0,35.71411,14.305542
magnesium alloy az61a(x) azm (wrought),75.312,40.8,1025,1.845,11788.0,1800.0,62.51062,58.302856
uranium nitride (UN) (hp  95-98 dense),13.807,5.31,188,2.594,5990.0,13800.0,36.66931,35.076416
iron nodular cast pearlitic base,37.656,11.4,460,3.312,11170.0,7200.0,48.705444,22.065308
potassium bromide (KBr 90  KCl 10),2.887,2.42,448,1.192,1854.0,2660.0,54.328003,54.516357
neptunium,12.552,5.56,126,2.268,5325.0,18000.0,52.032043,33.572998
zirconium silicate (ZrO2.SiO2) (100 d),6.276,2.51,544,2.502,3963.0,4600.0,66.58008,60.346558
cork ground,0.043,0.14,2008,0.301,114.0,150.0,53.213318,49.350098
quartz flour fine (dry),0.167,0.26,745,0.656,331.0,880.0,52.970825,47.32019
potassium chromate (K2O.2CrO3) (s axis),2.092,0.85,921,2.468,2272.0,2680.0,43.811157,67.45813
silicon carbide + si (SiC 76 Si 24),60.668,29.0,837,2.093,11266.0,2500.0,73.66437,52.43225
gasoline,0.151,0.09,2100,1.575,488.0,750.0,53.947876,61.58081
titanium alloy (Ti Bal Sn5.5 Al2),9.205,3.83,523,2.406,4706.0,4600.0,74.872314,58.415283
protactinium,12.552,7.11,115,1.771,4707.0,15400.0,58.60797,37.21106
chromium,87.864,27.4,448,3.208,16782.0,7160.0,39.14258,43.208008
silicone foam  flexible (lrl),0.167,0.5,1339,0.335,237.0,250.0,52.702393,45.07373
1-dodecene,0.14,0.0856,2150,1.636,478.5,761.0,54.26013,61.351807
strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2.321,2043.0,3960.0,44.884766,63.82556
samarium boride (SmB6) (96.8 pc dense),13.807,4.49,628,3.077,6516.0,4900.0,45.146362,59.445557
bronze  phospher 1.25 percent,205.02,61.2,377,3.355,26214.0,8900.0,54.828857,56.682617
urea-formaldehyde  molded,0.126,0.05,1674,2.511,561.0,1500.0,47.077087,66.61987
composition b-3 h.e. (rdx 60  tnt 40),0.262,0.11,1356,2.339,783.0,1725.0,43.815247,68.82239
iron (-51 to 1537 deg c),71.128,20.2,448,3.526,15831.0,7870.0,36.37329,28.988037
beryl - beryllium aluminosilicate (3BeO.Al2O3.6SiO2),6.276,1.89,1255,3.326,4569.0,2650.0,23.067444,85.05994
soil (av props),0.837,0.62,1046,1.36,1067.0,1300.0,53.05652,56.117065
uranium alloy (U97 fs3),21.338,9.29,126,2.306,7000.0,18300.0,45.34674,36.990967
chromium nitride (Cr2N),22.594,5.54,628,4.082,9601.0,6500.0,43.919983,37.87793
sapphire - aluminum oxide (Al2O3) (single xtal),43.932,14.2,778,3.096,11665.0,3980.0,50.59015,30.272095
polyvinylidene chloride,0.126,0.06,1339,2.276,535.0,1700.0,43.987427,68.60474
butadiene-acrylonitrile rubber + c,0.418,0.22,1443,1.934,899.0,1340.0,46.84906,66.00842
melamine glass fiber filled (mst 205),0.481,0.15,1674,3.181,1237.0,1900.0,44.911255,72.208984
tantalum nitride (tan),7.95,2.7,205,2.944,4838.0,14360.0,41.139587,34.389893
potassium ferrocyanide (K4Fe(Cn)6.3H2O),1.715,0.82,1130,2.091,1894.0,1850.0,46.388794,66.36548
carbon dioxide  (25 °C),0.016632,10.957,851,0.002,55.0,1.7842,51.852234,37.96045
cellulose acetate butyrate (high k),0.335,0.19,1464,1.757,767.0,1200.0,48.30487,63.806274
nickel alloy illium g,12.134,3.22,439,3.767,6763.0,8580.0,50.352966,43.29077
lead antimonial (Pb Sb 8-9),26.987,18.8,134,1.434,6218.0,10700.0,59.709717,63.04431
silicon carbide (SiC) (rextal  65-70d),18.41,13.1,678,1.403,5082.0,2070.0,71.48657,51.525513
titanium alloy hylite 60 (imi),7.531,3.1,523,2.432,4280.0,4650.0,70.78302,60.485962
barium titanate (BaO.TiO2) (+mn nb ox),1.297,0.5,439,2.59,1833.0,5900.0,51.511963,55.319458
1-dodecene,0.14,0.0856,2150,1.636,478.5,761.0,54.26013,61.351807
nickel alloy monel s (cast),19.665,5.36,439,3.67,8498.0,8360.0,47.447327,31.490234
mock h.e. lm-04-0 h7-048-a522.1,0.527,0.28,1109,1.885,997.0,1700.0,47.561584,64.61218
iron ni-resist types 1 and 2 (cast),39.748,11.8,460,3.358,11556.0,7300.0,48.191162,20.38855
titanium carbide + co (TiC 80 Co 20),35.564,12.1,544,2.948,10239.0,5420.0,52.341003,28.72461
arsenic  grey,4.184,2.21,331,1.897,2815.0,5730.0,58.899902,79.57898
bromine,0.122,0.08,460,1.426,417.0,3100.0,53.74646,57.384155
steel stainless 201 and 202,16.318,4.22,502,3.865,7943.0,7700.0,51.647583,37.574707
nitric acid,0.29,0.096,2000,3.02,935.9,1510.0,50.48651,68.91101
iron grey cast ferritic (3.2-3.8 c),71.128,21.5,460,3.307,15341.0,7190.0,39.30298,32.400513
aluminum alloy (Al99.0 wrot or annld),209.2,88.2,879,2.373,22277.0,2700.0,63.913757,65.69763
di-nitrogen tetroxide,0.29,0.1299,1550,2.232,804.6,1440.0,45.92572,67.46411
cobalt alloy wi-A664:G67052,25.104,7.14,418,3.511,9393.0,8400.0,44.473328,27.292725
beryl - beryllium aluminosilicate (3BeO.Al2O3.6SiO2),6.276,1.89,1255,3.326,4569.0,2650.0,23.067444,85.05994
uranium alloy (U82 Zr18),10.878,4.61,167,2.355,5067.0,14100.0,45.205444,34.87256
magnesium alloy zty(x) (hk11) (wrought),121.34,71.6,962,1.693,14336.0,1760.0,64.52167,62.864258
magnesium alloy am100a (casting),58.576,31.6,1025,1.855,10425.0,1810.0,64.576294,54.350708
lx-o4-1 h.e. (hmx 85 viton a 15),0.387,0.18,1172,2.186,919.0,1865.0,44.717773,67.9198
tungsten titanium carbide k5h,35.564,8.21,377,4.336,12411.0,11500.0,36.872803,17.758423
nickel alloy monel (hot-rolled),22.677,5.96,431,3.808,9293.0,8835.0,46.053406,27.588867
uranium alloy (U82 Zr18),10.878,4.61,167,2.355,5067.0,14100.0,45.205444,34.87256
nickel alloy monel h (cast),26.778,7.19,439,3.723,9988.0,8480.0,45.998535,23.549927
mercury chloride (HgCl2),1.297,0.84,285,1.55,1417.0,5440.0,57.24597,72.44165
cerium oxide (CeO2),11.715,5.46,352,2.147,5012.0,6100.0,72.07068,62.9104
steel multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
soil loam (H2O 4-27 pc),0.418,0.25,1046,1.674,837.0,1600.0,49.67102,61.885742
white pine wood (across grain),0.13,0.11,2301,1.22,398.0,530.0,54.557495,60.598267
soil (av props),0.837,0.62,1046,1.36,1067.0,1300.0,53.05652,56.117065
tetradecafluorohexane,0.057,0.0308,1100,1.848,324.8,1680.0,47.319702,64.82837
thulium,8.368,5.63,160,1.488,3526.0,9300.0,60.72943,54.859375
decane,0.15,0.1027,2000,1.46,468.1,730.0,53.65265,61.51831
oxygen (gas),0.026,23.2,795,0.001,5.0,1.429,51.57202,35.6167
fermium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
chrome brick (Cr2O3 32),1.172,0.58,628,2.01,1534.0,3200.0,49.986572,63.998413
polypropylene filled,0.18,0.07,1925,2.445,663.0,1270.0,49.868103,64.64734
polymethyl methacrylate (PMMA),0.209,0.12,1464,1.728,601.0,1180.0,48.466797,63.524414
sodium,133.89,114.0,1213,1.177,12551.0,970.0,61.457336,53.967407
tin telluride (snte 60  agsbte2 40),1.778,1.31,209,1.359,1555.0,6500.0,55.1687,61.873413
"phenolic resin pressed (types 40, 50)",0.377,0.22,1255,1.732,808.0,1380.0,48.748596,62.881104
brass muntz metal,125.52,39.7,377,3.167,19927.0,8400.0,44.83557,52.595825
antimony telluride (sb2te3) (polyxtal),4.602,3.39,209,1.359,2502.0,6500.0,54.950073,60.7041
aluminum oxide + cr (Al2O3 70  cr 30),9.205,2.49,628,3.705,5838.0,5900.0,37.612366,64.14319
cypress wood (across grain),0.096,0.09,2301,1.058,319.0,460.0,54.409058,59.35608
nickel alloy monel (hot-rolled),22.677,5.96,431,3.808,9293.0,8835.0,46.053406,27.588867
porcelain 576,11.297,4.41,753,2.56,5378.0,3400.0,71.49011,61.52295
teak wood (across grain),0.172,0.12,2301,1.473,503.0,640.0,54.616272,61.090576
uranium silicide (U3Si),16.736,6.17,176,2.719,6740.0,15450.0,32.766663,34.230225
phenolic molded (high density  k),0.674,0.18,1255,3.765,1593.0,3000.0,38.253113,81.24426
plastic laminate  various types,0.209,0.09,1255,2.259,687.0,1800.0,43.81665,68.62036
cobalt alloy hs-30 (422-19) (as cast),12.552,3.61,418,3.474,6606.0,8310.0,47.875427,42.69409
polyvinylidene chloride film,0.126,0.06,1339,2.25,531.0,1680.0,44.133667,68.51257
chromium copper (Cu Bal Cr0.5),326.35,97.6,377,3.348,33036.0,8880.0,54.616272,61.090576
cobalt alloy s-590 (wrought),12.97,3.71,418,3.49,6731.0,8350.0,47.724976,41.91284
tungsten alloy (W75 Re25),64.852,24.6,134,2.64,13079.0,19700.0,35.21216,50.656372
cerium sulfide (ces),8.368,4.82,293,1.737,3812.0,5930.0,55.67798,65.67334
zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,2.503,5116.0,6500.0,55.66693,61.232056
einsteinium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
magnesium alloy hk31a(o) (casting),104.6,57.0,1025,1.835,13853.0,1790.0,62.950012,63.406372
titanium oxide (TiOS2) (rutile  100 d),8.954,3.07,686,2.916,5110.0,4250.0,54.89026,73.31677
gold,317.98,129.0,128,2.47,28027.0,19300.0,54.616272,61.090576
hydrogen (gas),0.186,145.0,14230,0.001,15.0,0.0899,81.98407,83.23926
cellulose acetate (high k),0.335,0.18,1464,1.903,798.0,1300.0,47.09558,65.72754
cobalt alloy s-590 (wrought),12.97,3.71,418,3.49,6731.0,8350.0,47.724976,41.91284
fluorocarbons fep,0.251,0.1,1172,2.578,805.0,2200.0,41.2442,69.95349
bronze aluminum (Cu92 Al8),71.128,23.9,377,2.978,14547.0,7900.0,38.32074,42.09778
polysulfone,0.259,0.17,1255,1.569,638.0,1250.0,50.19055,60.5885
composition c-4 h.e. (rdx 90  binders),0.26,0.14,1172,1.863,696.0,1590.0,47.503174,64.58594
tungsten carbide cermet k701,53.974,18.4,209,2.926,12573.0,14000.0,23.085205,46.218994
sand northway (H2O 4-10) (avg prop),0.837,0.59,837,1.423,1091.0,1700.0,53.05713,56.660767
silicon carbide + si (SiC 76 Si 24),60.668,29.0,837,2.093,11266.0,2500.0,73.66437,52.43225
copper,397.48,116.0,385,3.442,36983.0,8940.0,54.616272,61.090576
uranium plutonium oxide (4UO2.PuO2),7.615,2.73,264,2.798,4613.0,10600.0,41.180054,41.47339
rubidium (liquid),29.288,51.6,385,0.568,4078.0,1475.0,61.05951,39.238525
sodium bromide (NaBr),2.51,1.54,510,1.634,2026.0,3203.0,55.435608,58.84375
forsterite - magnesium silicate (2MgO.SiO2) (100 pc dense),5.858,2.19,837,2.678,3960.0,3200.0,56.680664,68.404785
magnesium alloy am100a (casting),58.576,31.6,1025,1.855,10425.0,1810.0,64.576294,54.350708
gadolinium,8.786,4.85,230,1.81,3989.0,7870.0,58.797485,63.71167
kerosene,0.13,0.3476,2000,1.64,220.5,820.0,52.59326,62.57434
soil (av props),0.837,0.62,1046,1.36,1067.0,1300.0,53.05652,56.117065
copper alloy (Cu Bal Be 1.7-1.9),108.78,33.1,398,3.287,18899.0,8260.0,38.39453,47.447998
rubber  high k,0.293,0.13,2092,2.301,821.0,1100.0,51.88867,63.515503
bronze manganese,104.6,33.2,377,3.152,18147.0,8360.0,40.266235,48.012695
tungsten titanium carbide k4h,46.861,9.96,377,4.713,14853.0,12500.0,30.924255,18.518066
cellulose acetate (high k),0.335,0.18,1464,1.903,798.0,1300.0,47.09558,65.72754
thallium,38.911,25.3,130,1.541,7733.0,11850.0,55.371277,63.83557
titanium carbide cermet k151a,22.594,7.16,544,3.155,8442.0,5800.0,48.99176,34.415283
nickel alloy nimonic 90,12.552,3.53,431,3.556,6681.0,8250.0,49.3338,42.41504
pbx-9404-03 h.e. (hmx 94 nc 3 bind 3),0.427,0.23,1004,1.843,887.0,1836.0,47.90399,64.39917
silicone rubber low k,0.138,0.08,1255,1.632,475.0,1300.0,49.41101,61.747925
bronze manganese,104.6,33.2,377,3.152,18147.0,8360.0,40.266235,48.012695
magnesium alloy m1(x s) (wrought),142.26,78.9,1025,1.804,16020.0,1760.0,65.24896,66.3595
tungsten carbide cermet carboloy 905,100.42,31.8,209,3.156,17811.0,15100.0,19.474487,54.47461
melamine glass fiber filled (mst 205),0.481,0.15,1674,3.181,1237.0,1900.0,44.911255,72.208984
abs resin (high k),0.209,0.13,1506,1.566,572.0,1040.0,50.2688,61.506226
magnesium alloy m1(ac) (casting),129.7,71.9,1025,1.804,15296.0,1760.0,64.89087,66.181885
thallium (liquid),24.686,14.5,151,1.705,6479.0,11290.0,50.02942,50.265625
sandstone (high density),4.184,1.67,962,2.501,3235.0,2600.0,47.09143,67.98584
Graphite Sheet 70 um (in-plane),800.0,855.0,850,0.935,27350.0,1100.0,56.815918,48.974365
nickel alloy udimet 500 (wrought),10.878,3.08,439,3.534,6202.0,8050.0,50.50946,45.617554
sodium bromide (NaBr),2.51,1.54,510,1.634,2026.0,3203.0,55.435608,58.84375
copy paper,0.0904,0.08771,1260,1.031,305.0,818.0,53.56891,52.325195
chrome alum (Cr2(SO4)3.K2SO4.24H2O),2.092,0.86,1339,2.445,2262.0,1826.0,43.987183,68.731445
aluminum alloy (Al90.0  cast or tempd),104.6,44.1,879,2.373,15752.0,2700.0,61.192505,64.34924
potassium bromide (KBr) (single xtal),4.812,4.02,435,1.196,2399.0,2750.0,57.45819,54.687866
magnesium oxide (MgO) (polyxtal 100 d),61.923,18.8,921,3.297,14285.0,3580.0,28.138489,33.377808
magnesium alloy hz32a(ac) zt1 (casting),104.6,55.8,1025,1.876,14007.0,1830.0,62.904175,64.04541
teflon reinforced,0.414,0.21,975,1.94,896.0,1990.0,46.959778,65.56384
silicone DMS-10,0.11,0.06,1800,1.71,434.0,950.0,50.54663,64.05383
rattan,4.184,0.52,540,8.1,5820.0,15000.0,25.781067,55.15747
niobium alloy (Nb61 Ta28 W10 Zr0.5),44.769,20.8,201,2.151,9808.0,10700.0,33.850952,46.710693
steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2.511,2899.0,3000.0,47.269653,66.40198
nickel alloy nimonic 90,12.552,3.53,431,3.556,6681.0,8250.0,49.3338,42.41504
uranium oxide + st steel (UO2 70 vol),7.95,2.38,335,3.35,5158.0,10000.0,36.85614,52.46106
lithium fluoride (LiF 96) (plastic bnd),10.042,2.5,1632,4.015,6349.0,2460.0,21.046387,84.069824
uranium oxide + zr (UO2 80 Zr 20),10.878,5.15,243,2.117,4795.0,8710.0,51.901245,56.746216
nickel alloy inconel 713c (cast),12.134,3.43,448,3.544,6555.0,7910.0,50.588074,43.39624
silicon carbide (SiC) (carbofrax brick),21.757,11.9,678,1.831,6310.0,2700.0,76.74963,54.35254
boron nitride (BN) (perp pr axis 95 d),32.844,19.7,795,1.67,7405.0,2100.0,78.46661,52.547485
methanol (25 °C),0.20021,0.10046,2534,1.993,63.0,786.0,57.029663,63.04358
cordierite - magnesium aluminum silicate (2MgO.2Al2O3.5SiO2),2.218,1.36,774,1.625,1899.0,2100.0,54.44983,57.94519
titanium carbide (TiC) (93 pc dense),16.318,6.29,569,2.595,6507.0,4560.0,76.94354,44.102783
barium sulfate (BaSO4) (crystal),1.674,0.56,669,3.011,2245.0,4500.0,45.943176,68.152954
sp-1 polyimide resin (vespel),0.35,0.25,1130,0.85,1430.0,752.0,53.31836,50.228638
silicon carbide (SiC) (single xtal),489.53,225.0,678,2.176,32636.0,3210.0,70.079956,68.753296
cerium sulfide (ces),8.368,4.82,293,1.737,3812.0,5930.0,55.67798,65.67334
Graphite Sheet 100 um (in-plane),700.0,968.0,850,0.723,22489.0,850.0,72.49811,0.0
steel stainless cb30  cc50 (cast),21.757,5.76,502,3.78,9070.0,7530.0,51.555786,28.411865
propylene (propene),0.11,0.0817,2200,1.346,384.8,612.0,54.616272,61.090576
silicone foam  flexible (lrl),0.167,0.5,1339,0.335,237.0,250.0,52.702393,45.07373
thorium carbide (ThC) (80 pc dense),8.786,6.03,172,1.462,3579.0,8500.0,56.323853,60.1073
nickel alloy 330 (Ni99.55) (annealed),60.668,14.9,460,4.071,15719.0,8850.0,35.901306,14.4552
beryllium alloy (Be96.5),142.26,43.0,1799,3.31,21700.0,1840.0,50.029663,62.678833
tritium (gas),0.096,75.4,4728,0.001,11.0,0.27,54.616272,61.090576
nickel alloy a (Ni99.4) (annealed),66.944,17.1,439,3.903,16169.0,8890.0,34.717896,20.722778
mock h.e. lm-04-0 h4-048-a294-3,1.004,0.61,962,1.635,1282.0,1700.0,50.694763,60.74463
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
aluminum (liquid),92.048,36.0,1084,2.558,15345.0,2360.0,56.208008,59.158813
manganese silicide (MnSi2),7.197,2.34,586,3.071,4700.0,5240.0,38.12549,71.637085
titanium oxide (TiO2) (rutile  a axis),8.786,3.01,686,2.916,5062.0,4250.0,54.91748,73.52161
magnesium alloy zw1(x) (zk11) (wrought),133.89,72.6,1025,1.845,15717.0,1800.0,64.875,66.17407
tantalum boride (TaB2),86.19,31.8,226,2.712,15285.0,12000.0,28.649109,50.376587
phenoxy,0.176,0.08,1674,2.093,606.0,1250.0,47.349,66.42029
lead,34.309,23.3,130,1.476,7107.0,11350.0,59.635254,63.458252
aluminum alloy (Al94.0 cast or tempd),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
pyroceram 9606 (ceramic glass),3.975,1.95,782,2.033,2844.0,2600.0,52.367554,62.414917
nickel oxide (NiO) (single xtal),46.024,11.2,603,4.106,13742.0,6810.0,40.8385,12.169067
iron grey cast pearlitic (3.7-3.8 c),66.944,20.2,460,3.307,14883.0,7190.0,40.50702,28.985718
cobalt alloy hs-23,13.389,3.75,418,3.57,6917.0,8540.0,47.722412,41.062378
urea-formaldehyde alpha cellulose fllr,0.377,0.15,1674,2.511,972.0,1500.0,47.06903,66.62561
copper alloy (Cu99.4  Al0.3 Zr0.27),217.57,64.9,377,3.355,27004.0,8900.0,54.840942,56.432617
concrete cinder,0.335,0.32,657,1.051,593.0,1600.0,53.527527,51.97876
ammonium bromide (NH4Br),2.51,1.03,1004,2.44,2475.0,2430.0,45.885254,68.37732
ethyl cellulose (wide range of c  k),0.23,0.1,2092,2.406,744.0,1150.0,52.282593,64.107056
pyroceram 9608 (glass ceramic),2.05,1.02,808,2.02,2034.0,2500.0,49.863403,63.976074
titanium alloy hylite 55 (imi),7.531,3.03,523,2.489,4330.0,4760.0,70.130066,60.037598
molybdenum alloy (Mo99.5 Ti0.5),117.15,45.0,255,2.601,17463.0,10200.0,48.73584,60.429688
manganin (Cu84 Ni4 Mn12),22.175,6.77,377,3.28,8524.0,8700.0,39.476624,35.306274
nickel alloy nimonic 80a,11.715,3.43,418,3.415,6328.0,8170.0,47.957092,44.4386
steel stainless (Cr 16-26  Ni 8-36),14.644,3.65,502,4.016,7670.0,8000.0,52.132202,41.36743
plutonium,8.201,3.19,134,2.573,4592.0,19200.0,53.23047,29.882324
bronze manganese,104.6,33.2,377,3.152,18147.0,8360.0,40.266235,48.012695
copy paper,0.0904,0.08771,1260,1.031,305.0,818.0,53.56891,52.325195
nickel alloy incoloy 901,13.389,3.89,418,3.44,6790.0,8230.0,47.1131,41.507324
aluminum alloy (Al84.0  cast or tempd),83.68,35.3,879,2.373,14089.0,2700.0,69.98682,58.95044
zircon porcelain (high k),5.858,2.56,586,2.285,3658.0,3900.0,65.42932,60.52173
polyvinylidene chloride film,0.126,0.06,1339,2.25,531.0,1680.0,44.133667,68.51257
nickel alloy hy mu 80,33.388,8.53,448,3.916,11430.0,8740.0,45.34613,16.700195
forsterite brick (MgO 58 SiO2 38)(20 p),1.004,0.46,795,2.194,1484.0,2760.0,44.355774,65.12134
silver selenide (Ag2Se),0.837,0.37,280,2.24,1370.0,8000.0,73.64087,50.13623
uranium oxide + cr (UO2 80vol) (97 d),15.899,4.75,335,3.35,7295.0,10000.0,32.8255,43.061768
extruded polystyrene foam,0.029,0.773,1200,0.035,25.0,29.0,52.25006,41.28894
bismuth,8.368,7.08,121,1.18,3146.0,9750.0,58.167236,59.446777
calcium boride (CaB6),39.162,12.7,1255,3.087,10996.0,2460.0,28.809875,58.807617
samarium,12.552,9.3,180,1.35,4115.0,7500.0,59.315308,62.093384
zirconium alloy 3zi (Zr97 Al1 Sn1 Mo1),8.368,4.55,285,1.841,3922.0,6460.0,59.45642,70.65918
siliceous fireclay brick (23 p),1.088,0.72,753,1.506,1280.0,2000.0,53.56659,57.36133
urea-formaldehyde alpha cellulose fllr,0.377,0.15,1674,2.511,972.0,1500.0,47.06903,66.62561
potassium bromide (KBr),3.807,3.18,435,1.196,2134.0,2750.0,55.504395,54.65869
thorium oxide (ThO2) (96-100 pc dense),11.715,5.21,234,2.246,5133.0,9600.0,46.782166,49.30005
niobium alloy (Nb95 Ta5),44.769,19.8,251,2.259,10056.0,9000.0,36.78235,44.035034
niobium silicide (NbSi2),41.84,17.2,460,2.433,10092.0,5290.0,67.231995,44.549072
nickel alloy incoloy 901,13.389,3.89,418,3.44,6790.0,8230.0,47.1131,41.507324
silicon oxide (SiO2) (foam 1 atm air),0.055,0.46,745,0.119,81.0,160.0,52.208008,40.937378
cobalt alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
sodium (liquid),84.517,65.8,1381,1.284,10419.0,930.0,59.56018,55.003662
steel ultra high strength type 300-m,57.739,16.5,448,3.512,14236.0,7840.0,41.072388,18.840332
radon gas,0.004,4.59,94,0.001,2.0,9.73,51.890503,38.237793
cadmium,92.048,46.3,230,1.99,13535.0,8650.0,57.660156,61.19458
magnesium alloy zk51a  h807 (casting),110.88,60.0,1021,1.848,14315.0,1810.0,63.523376,64.54443
aniline,0.17,0.08,2140,2.185,609.4,1021.0,52.504578,62.911743
polonium,1.674,1.48,121,1.128,1376.0,9320.0,59.701294,57.1239
tungsten carbide cermet k94 and k1,91.63,31.1,209,2.947,16440.0,14100.0,22.428162,52.398315
gallium,33.472,15.2,372,2.197,8581.0,5907.0,68.652954,53.02771
aluminum alloy (Al84.0 wrot or annld),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
titanium alloy (Ti Bal  Al5  Sn2.5),7.113,2.92,544,2.437,4163.0,4480.0,69.56287,59.62036
magnesium alloy hk31a(h24) (casting),112.97,61.6,1025,1.835,14397.0,1790.0,63.708252,64.68396
nickel,87.864,22.3,444,3.952,18623.0,8900.0,26.006409,35.324585
beryllium alloy (Be96.5) (annealed),175.73,53.1,1799,3.31,24118.0,1840.0,54.616272,61.090576
magnesium alloy az92a(ac) (casting),54.392,29.1,1025,1.871,10087.0,1825.0,64.81061,53.66687
titanium alloy (Ti Bal Al4 Cu2 Zr2),9.205,3.76,544,2.448,4746.0,4500.0,74.776855,58.700317
tin telluride (snte 60  agsbte2 40),1.778,1.31,209,1.359,1555.0,6500.0,55.1687,61.873413
tnt h.e. (2 4 6-trinitrotoluene) (cast),0.26,0.12,1372,2.127,744.0,1550.0,45.208435,67.64551
copper gilding metal (Cu95 Zn5),230.12,69.0,377,3.336,27694.0,8850.0,54.842163,56.40735
silver,426.77,172.0,236,2.478,32520.0,10500.0,60.55365,64.032715
tetryl h.e.,0.286,0.13,1255,2.146,783.0,1710.0,44.92993,67.650635
beta-spodumene (Li2O.Al2O3.4SiO2) (tet),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
colombium alloy (Cb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
udmh (unsymmetrical dimethylhydrazine),0.16,0.0764,2650,2.094,578.9,790.0,58.03241,63.85498
brass aluminum (Cu76 Zn22 Al2),100.42,31.0,377,3.242,18034.0,8600.0,36.80548,45.948853
copper lithium oxide (96CuO.4LiO),15.272,3.62,669,4.215,8025.0,6300.0,39.61731,52.838623
beryllium alloy (Be96.5) (annealed),175.73,53.1,1799,3.31,24118.0,1840.0,54.616272,61.090576
nickel alloy inconel 702 (annealed),12.552,3.26,460,3.85,6953.0,8370.0,51.427612,42.937134
brass red cast (Cu85 Zn5 Pb5 Sn3),71.965,21.8,377,3.299,15399.0,8750.0,34.487732,36.70862
polypropylene moplin,0.134,0.08,1925,1.752,484.0,910.0,51.34149,63.49231
potassium iodide (KI),2.887,3.02,305,0.955,1661.0,3130.0,55.52112,53.341675
sp-1 polyimide resin (vespel),0.35,0.25,1130,0.85,1430.0,752.0,53.31836,50.228638
lx-o4-1 h.e. (hmx 85 viton a 15),0.387,0.18,1172,2.186,919.0,1865.0,44.717773,67.9198
toluene (25 °C),0.1304,0.088902,1701,1.467,39.0,862.0,51.820618,60.818726
neodymium,12.97,9.43,197,1.379,4225.0,7000.0,60.341125,62.23535
silicon carbide (SiC) (frit bnd brick),46.024,25.2,678,1.831,9178.0,2700.0,87.472595,51.831055
carbon amorphous (carbon stock),6.276,5.88,707,1.068,2589.0,1510.0,55.73706,49.76416
